Date,Symbol,Open,High,Low,Close,Volume
15-07-2020,TCS,2185,2260,2181.1,2233.9,5569322
16-07-2020,TCS,2244,2333,2220.1,2234.75,8582120
17-07-2020,TCS,2237,2243.9,2190.05,2200.75,4509143
20-07-2020,TCS,2201,2226.9,2190.8,2207.9,2952719
21-07-2020,TCS,2230,2238.65,2201.15,2225.05,2665386
22-07-2020,TCS,2231,2231,2184.2,2190.95,2861698
23-07-2020,TCS,2190.95,2190.95,2163,2171.2,2265791
24-07-2020,TCS,2154.5,2163,2125.1,2157.4,3665123
27-07-2020,TCS,2165,2215,2163.5,2206.8,4248837
28-07-2020,TCS,2215,2320,2215,2309.75,8092458
29-07-2020,TCS,2292,2342,2246.05,2276.05,6090440
30-07-2020,TCS,2285.9,2358,2272.25,2279.5,7098913
31-07-2020,TCS,2303.15,2334.8,2257.45,2281.4,4723290
03-08-2020,TCS,2290.45,2303.85,2230.7,2254.15,4012445
04-08-2020,TCS,2259.95,2269.65,2225.05,2249.7,2927953
05-08-2020,TCS,2260,2300,2253,2259.5,3800641
06-08-2020,TCS,2275,2319.5,2265.35,2308.1,4748348
07-08-2020,TCS,2308,2328,2287,2295.35,3165495
10-08-2020,TCS,2318,2325,2276.05,2282.8,2929385
11-08-2020,TCS,2283,2312,2275.6,2279.9,2774509
12-08-2020,TCS,2288.35,2296.4,2246.55,2257.35,3415766
13-08-2020,TCS,2273,2300,2250.5,2254.45,2695682
14-08-2020,TCS,2277,2281.3,2233.1,2242.15,2270405
17-08-2020,TCS,2263,2270,2238.25,2253.4,2625670
18-08-2020,TCS,2262.8,2289,2248.3,2269.75,3493411
19-08-2020,TCS,2276.35,2284.6,2252.5,2256.6,2843007
20-08-2020,TCS,2257,2276.55,2240.05,2252.85,2895265
21-08-2020,TCS,2260,2271,2241.05,2248.6,1975304
24-08-2020,TCS,2250.6,2259.95,2230,2248.1,2167987
25-08-2020,TCS,2245,2250,2233.55,2242.65,1663454
26-08-2020,TCS,2242,2259.9,2216.45,2253.5,2618159
27-08-2020,TCS,2266,2287.35,2241.75,2248.4,3579397
28-08-2020,TCS,2268.4,2279.95,2235.1,2238.55,2941156
31-08-2020,TCS,2240,2276.2,2228,2257.25,6018160
01-09-2020,TCS,2269,2278,2241.3,2246.35,3610908
02-09-2020,TCS,2247,2268.75,2241.65,2265.15,2084152
03-09-2020,TCS,2268,2324,2268,2299.5,4654146
04-09-2020,TCS,2275,2324.25,2262.95,2288.8,5232180
07-09-2020,TCS,2289,2343.5,2283.35,2327.05,4620416
08-09-2020,TCS,2335.95,2390.45,2327.05,2348.2,7454161
09-09-2020,TCS,2325,2359,2320,2327.65,3866542
10-09-2020,TCS,2335,2348.5,2324.3,2331.15,2308813
11-09-2020,TCS,2330.95,2383,2330.15,2374.1,4145429
14-09-2020,TCS,2384.1,2505.75,2381.85,2491.4,7512284
15-09-2020,TCS,2491.4,2538,2464.6,2491.4,7318773
16-09-2020,TCS,2488.95,2507.6,2477.3,2503,3074013
17-09-2020,TCS,2480,2495.75,2450.6,2460.95,4828231
18-09-2020,TCS,2485,2500.4,2436.4,2449.9,4183256
21-09-2020,TCS,2465,2504.9,2452.15,2465.3,4598809
22-09-2020,TCS,2485,2555,2458,2522.95,7499927
23-09-2020,TCS,2510,2519.85,2409,2467.45,7503152
24-09-2020,TCS,2450,2450,2302.6,2332.25,8425118
25-09-2020,TCS,2368,2440,2352.1,2422.3,8228297
28-09-2020,TCS,2440,2444,2366,2426.3,4347177
29-09-2020,TCS,2434.85,2511.05,2426.3,2488.4,6995815
30-09-2020,TCS,2489,2505,2460,2492.3,3917186
01-10-2020,TCS,2510,2540,2492.3,2523.45,2610338
05-10-2020,TCS,2620,2728.1,2603.05,2705.8,17412119
06-10-2020,TCS,2736,2736,2650.1,2714.3,9846376
07-10-2020,TCS,2742,2770,2703,2735.95,9656167
08-10-2020,TCS,2800,2885,2800,2825.7,19839826
09-10-2020,TCS,2810,2829.85,2780,2812.95,7739375
12-10-2020,TCS,2815.5,2854,2800.75,2830,4623211
13-10-2020,TCS,2845,2854.9,2812.2,2826.55,4209905
14-10-2020,TCS,2842,2842,2787.55,2809.6,4395979
15-10-2020,TCS,2811,2827.75,2727,2740.6,6629395
16-10-2020,TCS,2750.1,2771.65,2731.3,2763.3,5273773
19-10-2020,TCS,2774,2774,2706.6,2711.55,3331194
20-10-2020,TCS,2725,2759.9,2717.95,2739,3406298
21-10-2020,TCS,2739,2749,2663.05,2675.4,4570175
22-10-2020,TCS,2661,2686.65,2638.1,2671.15,5262311
23-10-2020,TCS,2687.8,2702,2670.1,2686.8,3499372
26-10-2020,TCS,2689.95,2709.95,2670.5,2688.2,2672766
27-10-2020,TCS,2699.75,2718.15,2624.1,2630.15,3537594
28-10-2020,TCS,2650,2655.95,2606,2622.2,3569515
29-10-2020,TCS,2608,2655,2600.25,2632.65,3105970
30-10-2020,TCS,2636.1,2674.35,2621.6,2664.85,3427003
02-11-2020,TCS,2660,2664.85,2600.05,2604.6,2571196
03-11-2020,TCS,2604,2665,2601.05,2633.6,2879269
04-11-2020,TCS,2610,2721.85,2610,2653.15,4893928
05-11-2020,TCS,2685,2710,2667,2685.7,2816502
06-11-2020,TCS,2699,2713.25,2681.3,2707.45,3884421
09-11-2020,TCS,2731.1,2744,2695.1,2726.6,3646592
10-11-2020,TCS,2697.2,2713.15,2638.35,2649.6,4760020
11-11-2020,TCS,2667.95,2692.8,2643.4,2687.8,3242441
12-11-2020,TCS,2686,2713,2661.75,2671.05,2437505
13-11-2020,TCS,2655.75,2664.9,2636,2656.85,2548093
14-11-2020,TCS,2677.95,2689,2660.05,2670.35,298819
17-11-2020,TCS,2695,2695,2650.05,2666.05,2827273
18-11-2020,TCS,2661,2664.2,2607.05,2626.65,2893762
19-11-2020,TCS,2637,2676.15,2630.85,2636.9,4167501
20-11-2020,TCS,2655,2676,2627.55,2660.25,2711471
23-11-2020,TCS,2690,2730,2665,2724.25,3706418
24-11-2020,TCS,2734.4,2743,2705,2722.05,3120516
25-11-2020,TCS,2729,2732.95,2688.2,2701.3,3302249
26-11-2020,TCS,2686,2730.95,2680,2720.6,2341099
27-11-2020,TCS,2705,2717.7,2669.05,2679.65,6086808
01-12-2020,TCS,2679,2735.9,2624.45,2726.8,3605017
02-12-2020,TCS,2719,2754.7,2702.45,2749.55,2509032
03-12-2020,TCS,2773.9,2773.9,2700.8,2709.45,2852548
04-12-2020,TCS,2710.8,2738.85,2699,2727.55,2686527
07-12-2020,TCS,2715,2744,2706.15,2737.7,1996400
08-12-2020,TCS,2740,2805.55,2732.45,2797.3,4277818
09-12-2020,TCS,2815,2840,2793.15,2810.8,3659996
10-12-2020,TCS,2818,2827.3,2780.25,2784.3,2127801
11-12-2020,TCS,2792.7,2807.7,2764.55,2783.6,1795408
14-12-2020,TCS,2802,2804,2756.25,2797.7,2483658
15-12-2020,TCS,2786,2794.7,2755,2761.55,2365509
16-12-2020,TCS,2779,2819.8,2760.45,2814.2,2565149
17-12-2020,TCS,2811,2853.7,2805,2838.2,2863460
18-12-2020,TCS,2868,2898,2846.2,2861,6076692
21-12-2020,TCS,2861,2886.5,2785,2820.15,2705195
22-12-2020,TCS,2834,2883.65,2818.65,2872.5,2881737
23-12-2020,TCS,2876.05,2919,2865.45,2908.75,2790988
24-12-2020,TCS,2909,2921.35,2883.2,2909.35,1807144
28-12-2020,TCS,2910,2949.7,2902,2929.4,2108994
29-12-2020,TCS,2920,2952,2920,2930.5,1994151
30-12-2020,TCS,2934.4,2947.7,2902,2909.3,2637968
31-12-2020,TCS,2900,2905,2845,2862.75,4040956
01-01-2021,TCS,2880,2940,2879,2928.25,2681440
04-01-2021,TCS,2950,3050.75,2940.95,3039.45,5113293
05-01-2021,TCS,3039.6,3114.25,3039.6,3093,5801309
06-01-2021,TCS,3100,3113.5,3037.2,3051.5,3726716
07-01-2021,TCS,3075,3080.85,3000.25,3032.8,3717827
08-01-2021,TCS,3090,3128,3060,3120.9,5879039
11-01-2021,TCS,3230,3230,3146.55,3176.45,9508039
12-01-2021,TCS,3176.45,3210,3150,3174.85,3611458
13-01-2021,TCS,3175,3177,3126.25,3158.95,3572801
14-01-2021,TCS,3155,3266.5,3120.4,3250.7,6931542
15-01-2021,TCS,3235,3274,3210,3233.35,4131692
18-01-2021,TCS,3250,3256.75,3187.4,3221.75,4160906
19-01-2021,TCS,3233,3279,3232,3260.7,2975735
20-01-2021,TCS,3270,3327.95,3267.1,3308.8,3453446
21-01-2021,TCS,3305,3309.15,3262.1,3273.85,2778546
22-01-2021,TCS,3241.9,3325,3241.9,3303.1,3052459
25-01-2021,TCS,3308.95,3339.8,3278.65,3291.3,2272887
27-01-2021,TCS,3300,3306.45,3227,3261.05,2786662
28-01-2021,TCS,3230,3275,3183.8,3196.55,3083938
29-01-2021,TCS,3210.05,3216.85,3100,3111.35,5445659
01-02-2021,TCS,3100,3165,3044.1,3139.35,3985846
02-02-2021,TCS,3174,3224,3150,3203.45,2881837
03-02-2021,TCS,3213,3236,3162.65,3200.05,2505866
04-02-2021,TCS,3216.05,3237.85,3176,3188.45,2057261
05-02-2021,TCS,3198.95,3205.85,3129,3157.95,2366135
08-02-2021,TCS,3189.5,3226,3155.15,3214.1,2526592
09-02-2021,TCS,3195,3245.8,3164,3176.9,2658751
10-02-2021,TCS,3185,3219.4,3157.3,3213.3,2127983
11-02-2021,TCS,3215,3219.3,3185.05,3206,1165882
12-02-2021,TCS,3184.2,3245.5,3182,3190.8,2777404
15-02-2021,TCS,3209,3209,3131.55,3139.85,2630853
16-02-2021,TCS,3150,3167.65,3100,3108.8,3435770
17-02-2021,TCS,3105.1,3132.85,3045.55,3073.1,3678426
18-02-2021,TCS,3065,3097.9,3031,3057.35,4189909
19-02-2021,TCS,3058,3087.15,3016.15,3071.85,3725028
22-02-2021,TCS,3096,3096,2943.15,2958.45,5366696
23-02-2021,TCS,2970,3028,2968,2980.2,3832829
24-02-2021,TCS,2972,3003.35,2921.15,2948.1,3774549
25-02-2021,TCS,2974,3029.9,2968.45,2995.3,4224073
26-02-2021,TCS,2960,2972.35,2880,2894.3,5553153
01-03-2021,TCS,2926,2965,2901.8,2924.2,3265871
02-03-2021,TCS,2960,3025,2948,3006.35,3306469
03-03-2021,TCS,3035,3064,2996.9,3059.1,3509857
04-03-2021,TCS,3023,3081.45,3016.05,3049.7,3916760
05-03-2021,TCS,3016.1,3063.2,2996.6,3008.05,3203686
08-03-2021,TCS,3016,3033,2996,3006.95,2003125
09-03-2021,TCS,3006.95,3066.9,2992.1,3050.95,1942397
10-03-2021,TCS,3075,3093.2,3060,3070.95,3053778
12-03-2021,TCS,3075,3117,3041.35,3057.95,2938317
15-03-2021,TCS,3041,3099,3041,3066.15,3097140
16-03-2021,TCS,3060,3141,3060,3110.05,4894756
17-03-2021,TCS,3105,3155,3085.3,3112.95,3838390
18-03-2021,TCS,3125.95,3146.45,2987.05,3036.5,3656306
19-03-2021,TCS,3030,3099,3005,3050.2,5776626
22-03-2021,TCS,3048.7,3139.45,3018.65,3129.65,2821646
23-03-2021,TCS,3140,3169,3122.85,3142.6,3305973
24-03-2021,TCS,3111.2,3152.3,3111.15,3121.1,2207104
25-03-2021,TCS,3112.2,3130.85,3050,3064.85,3179786
26-03-2021,TCS,3090.65,3118,3043.05,3066.8,3697370
30-03-2021,TCS,3083,3188.45,3060.9,3158.55,4694261
31-03-2021,TCS,3155,3205,3132,3177.85,3530069
01-04-2021,TCS,3191.1,3215,3145,3165,4285076
05-04-2021,TCS,3171,3263,3151,3238.9,5317862
06-04-2021,TCS,3275,3275,3230,3264.7,2291562
07-04-2021,TCS,3259,3277.55,3234.8,3271.4,2491268
08-04-2021,TCS,3270,3335,3266.05,3317.35,2578118
09-04-2021,TCS,3354,3354.35,3308,3322.25,2911129
